Sample description: 
Sample:   c= 0.5 mg/ml  Code: 
Parent(s): 
 2.128810e+000  1.623180e+000  2.297550e-001
 2.133962e+000  1.961920e+000  2.300072e-001
 2.139114e+000  2.202660e+000  2.321734e-001
 2.144266e+000  2.064340e+000  2.338012e-001
 2.149418e+000  1.808960e+000  2.337892e-001
 2.154570e+000  2.242100e+000  2.354206e-001
 2.159722e+000  2.285560e+000  2.376282e-001
 2.164874e+000  2.011600e+000  2.372596e-001
 2.170026e+000  2.010180e+000  2.373860e-001
 2.175178e+000  2.187620e+000  2.371654e-001
 2.180330e+000  2.226840e+000  2.325550e-001
 2.185482e+000  1.841920e+000  2.295890e-001
 2.190634e+000  1.619360e+000  2.294132e-001
 2.195786e+000  1.773860e+000  2.282780e-001
 2.200938e+000  1.700900e+000  2.273052e-001
 2.206090e+000  2.057840e+000  2.276746e-001
 2.211242e+000  2.126940e+000  2.278862e-001
 2.216394e+000  2.054660e+000  2.243774e-001
 2.221546e+000  1.777160e+000  2.247258e-001
 2.226698e+000  1.646520e+000  2.246400e-001
 2.231850e+000  1.648120e+000  2.226198e-001
 2.237002e+000  1.631920e+000  2.227188e-001
 2.242154e+000  1.911820e+000  2.240720e-001
 2.247306e+000  1.262120e+000  2.212130e-001
 2.252458e+000  1.659940e+000  2.236016e-001
 2.257610e+000  2.041040e+000  2.227962e-001
 2.262762e+000  2.553500e+000  2.212766e-001
 2.267914e+000  1.779860e+000  2.209774e-001
 2.273066e+000  1.880520e+000  2.217712e-001
 2.278218e+000  1.414980e+000  2.204428e-001
 2.283370e+000  1.640380e+000  2.211184e-001
 2.288522e+000  1.316420e+000  2.206602e-001
 2.293674e+000  1.873620e+000  2.206510e-001
 2.298826e+000  1.878340e+000  2.214620e-001
 2.303978e+000  1.448960e+000  2.207000e-001
 2.309130e+000  1.663160e+000  2.184240e-001
 2.314282e+000  1.541780e+000  2.201328e-001
 2.319434e+000  1.454480e+000  2.201818e-001
 2.324586e+000  1.629220e+000  2.181456e-001
 2.329738e+000  1.672420e+000  2.199188e-001
 2.334890e+000  1.466980e+000  2.187914e-001
 2.340042e+000  1.634720e+000  2.189016e-001
 2.345195e+000  1.565140e+000  2.192150e-001
 2.350347e+000  1.627240e+000  2.179636e-001
 2.355499e+000  1.628460e+000  2.176164e-001
 2.360651e+000  1.966320e+000  2.184706e-001
 2.365803e+000  1.325380e+000  2.181002e-001
 2.370955e+000  1.450720e+000  2.162738e-001
 2.376107e+000  1.641780e+000  2.183340e-001
 2.381259e+000  1.807920e+000  2.182156e-001
 2.386411e+000  1.438800e+000  2.170540e-001
 2.391563e+000  1.375720e+000  2.173556e-001
 2.396715e+000  1.632480e+000  2.166968e-001
 2.401867e+000  1.221040e+000  2.159286e-001
 2.407019e+000  1.013440e+000  2.155248e-001
 2.412171e+000  1.983420e+000  2.174766e-001
 2.417323e+000  1.513480e+000  2.154242e-001
 2.422475e+000  1.284780e+000  2.156200e-001
 2.427627e+000  1.243960e+000  2.161994e-001
 2.432779e+000  1.461820e+000  2.148884e-001
 2.437931e+000  9.088400e-001  2.143740e-001
 2.443083e+000  1.395280e+000  2.143610e-001
 2.448235e+000  1.403320e+000  2.134002e-001
 2.453387e+000  1.282080e+000  2.138454e-001
 2.458539e+000  1.523820e+000  2.135316e-001
 2.463691e+000  1.670480e+000  2.127036e-001
 2.468843e+000  1.457180e+000  2.135716e-001
 2.473995e+000  1.332600e+000  2.132770e-001
 2.479147e+000  1.508020e+000  2.112530e-001
 2.484299e+000  1.842540e+000  2.130916e-001
 2.489451e+000  1.776260e+000  2.123676e-001
 2.494603e+000  1.376040e+000  2.113178e-001
 2.499755e+000  1.656100e+000  2.120928e-001
 2.504907e+000  1.494120e+000  2.123606e-001
 2.510059e+000  1.538100e+000  2.108190e-001
 2.515211e+000  1.317400e+000  2.121258e-001
 2.520363e+000  1.486200e+000  2.123158e-001
 2.525515e+000  1.569440e+000  2.107776e-001
 2.530667e+000  1.140080e+000  2.111574e-001
 2.535819e+000  1.355480e+000  2.124404e-001
 2.540971e+000  1.345180e+000  2.101816e-001
 2.546123e+000  1.375520e+000  2.111338e-001
 2.551275e+000  1.147160e+000  2.103710e-001
 2.556427e+000  1.306980e+000  2.104656e-001
 2.561579e+000  1.682260e+000  2.116250e-001
 2.566731e+000  1.301280e+000  2.119348e-001
 2.571883e+000  1.149520e+000  2.113704e-001
 2.577035e+000  1.409580e+000  2.151288e-001
 2.582187e+000  1.068800e+000  2.180946e-001
 2.587339e+000  1.512580e+000  2.197766e-001
 2.592491e+000  1.324660e+000  2.205458e-001
 2.597643e+000  1.757520e+000  2.221218e-001
 2.602795e+000  1.257360e+000  2.157198e-001
 2.607947e+000  1.031680e+000  2.157454e-001
 2.613099e+000  1.255460e+000  2.155612e-001
 2.618251e+000  1.394060e+000  2.138230e-001
 2.623403e+000  1.554940e+000  2.135276e-001
 2.628555e+000  1.475720e+000  2.142588e-001
 2.633708e+000  1.263620e+000  2.119556e-001
 2.638860e+000  1.168980e+000  2.127370e-001
 2.644012e+000  1.468760e+000  2.136968e-001
 2.649164e+000  1.466240e+000  2.119966e-001
 2.654316e+000  1.135020e+000  2.131978e-001
 2.659468e+000  1.073540e+000  2.134070e-001
 2.664620e+000  1.119840e+000  2.113806e-001
 2.669772e+000  1.205660e+000  2.123366e-001
 2.674924e+000  1.290540e+000  2.125236e-001
 2.680076e+000  1.217780e+000  2.111280e-001
 2.685228e+000  1.147140e+000  2.116216e-001
 2.690380e+000  1.463500e+000  2.127998e-001
 2.695532e+000  1.735800e+000  2.109858e-001
 2.700684e+000  9.610400e-001  2.115482e-001
 2.705836e+000  1.026740e+000  2.109870e-001
 2.710988e+000  9.254000e-001  2.094700e-001
 2.716140e+000  9.388200e-001  2.102848e-001
 2.721292e+000  1.427680e+000  2.117108e-001
 2.726444e+000  1.404960e+000  2.094164e-001
 2.731596e+000  1.481200e+000  2.106302e-001
 2.736748e+000  1.161520e+000  2.106590e-001
 2.741900e+000  9.998200e-001  2.095126e-001
 2.747052e+000  1.259760e+000  2.099094e-001
 2.752204e+000  1.207320e+000  2.103980e-001
 2.757356e+000  1.105520e+000  2.087410e-001
 2.762508e+000  1.534860e+000  2.103586e-001
 2.767660e+000  1.360780e+000  2.093152e-001
 2.772812e+000  1.604840e+000  2.090088e-001
 2.777964e+000  1.545100e+000  2.098338e-001
 2.783116e+000  1.017680e+000  2.094978e-001
 2.788268e+000  9.154000e-001  2.077228e-001
 2.793420e+000  1.208040e+000  2.083706e-001
 2.798572e+000  1.209880e+000  2.096896e-001
 2.803724e+000  1.349480e+000  2.071164e-001
 2.808876e+000  1.386020e+000  2.081688e-001
 2.814028e+000  1.550280e+000  2.084594e-001
 2.819180e+000  1.223880e+000  2.065958e-001
 2.824332e+000  1.169200e+000  2.072728e-001
 2.829484e+000  1.273080e+000  2.082914e-001
 2.834636e+000  7.091400e-001  2.071930e-001
 2.839788e+000  9.598000e-001  2.066628e-001
 2.844940e+000  8.156200e-001  2.074678e-001
 2.850092e+000  9.856800e-001  2.070360e-001
 2.855244e+000  9.004200e-001  2.073578e-001
 2.860396e+000  1.106280e+000  2.081018e-001
 2.865548e+000  1.009000e+000  2.062150e-001
 2.870700e+000  1.069300e+000  2.074626e-001
 2.875852e+000  8.482400e-001  2.074154e-001
 2.881004e+000  7.070200e-001  2.062684e-001
 2.886156e+000  8.444600e-001  2.061454e-001
 2.891308e+000  1.279360e+000  2.065320e-001
 2.896460e+000  1.383440e+000  2.053454e-001
 2.901612e+000  1.366740e+000  2.059470e-001
 2.906764e+000  9.155800e-001  2.070906e-001
 2.911916e+000  1.452320e+000  2.048100e-001
 2.917069e+000  1.185640e+000  2.058224e-001
 2.922221e+000  1.393020e+000  2.075150e-001
 2.927373e+000  1.548260e+000  2.066806e-001
